,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,latitude_dd,longitude_dd,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,hcollect_method_id,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,hwm_label,files,height_above_gnd,hwm_notes,uncertainty,hwm_uncertainty,peak_summary_id,elev_m
10,31.97904,-80.99432,Matthew October 2016,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Phone/Car GPS,NAD83,Paul Ankcorn,Paul Ankcorn,GACHA17912,"2020 Walthour Road, Wilmington Island",,,GA,Chatham County,,No,31.97904,-80.99432,16442,Atlantiv,17912,135,2,4,top of stake driven in backyard of residence. Half way up bluff. look for flagged tree in vecinity,31.97904,-80.99432,2016-10-11T04:00:00,8.89,2,,N/A,,,3,Riverine,2016-10-10T04:00:00,0.0,2,873,873,no_label,[],0.1,,0.02,0.4,,2.7096720000000003
11,32.00764,-80.99047,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,Andrew Knaak,Andrew Knaak,GACHA17913,Young's Marina,,,GA,Chatham County,,No,32.00764,-80.99047,16443,Savannah River trib,17913,135,5,2,young's marina,32.00764,-80.99047,2016-10-11T04:00:00,7.87,2,6,N/A,,6,3,Coastal,2016-10-10T04:00:00,0.0,2,10,10,no_label,[],,,0.35,,,2.3987760000000002
12,31.923387,-81.070312,Matthew October 2016,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Other (Note in Description box),Phone/Car GPS,NAD83,James Chapman,James Chapman,GACHA17914,"Fair wash/debris line at top of rip rap lined bank behind house at 9 Back River Circle, Savannah, GA. Marked with two pink survey flags, near a black drainage pipe.",,,GA,Chatham County,,No,31.923387,-81.070312,16444,Delegal Creek,17914,135,2,3,"Fair wash/debris line at top of rip rap lined bank behind house at 9 Back River Circle, Savannah, GA. Marked with two pink survey flags, near a black drainage pipe.",31.923387,-81.070312,2016-10-10T04:00:00,10.48,2,6,Left,,9,3,Coastal,2016-10-10T04:00:00,0.0,2,1722,1722,no_label,[],0.0,,0.31,0.2,,3.1943040000000003
13,31.99215,-80.98011,Matthew October 2016,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,,Stake,Phone/Car GPS,NAD83,Paul Ankcorn,Paul Ankcorn,GACHA17915,1612 Walthour Road Wilmington Island,,,GA,Chatham County,,No,31.99215,-80.98011,16445,Atlantic,17915,135,2,4,top of stake located in back year of residence. 52 feet from rear patio,31.99215,-80.98011,2016-10-11T04:00:00,7.69,2,6,N/A,,7,3,Riverine,2016-10-10T04:00:00,0.0,2,873,873,no_label,[],0.1,,0.35,0.4,,2.3439120000000004
14,31.947091,-81.020765,Matthew October 2016,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail and HWM tag,RT-GNSS,WGS84 (from Digital Map),Marcie Cruz,Brian McDowell,GACHA17916,"The HWM is located on a home at 15 Marsh Tower Lane, Savannah, GA 31411. The HWM is on the south facing side of the house on the border of the lattice marked with a pin and flagging. The home is also marked near the mailbox with a red flag.",,,GA,Chatham County,,No,31.947091,-81.020765,16446,Tributary North of Romerly Marsh Creek,17916,135,2,2,The HWM is on the south facing side of the house on the lattice border. It is marked with a pin and flagging.,31.947091,-81.020765,2016-10-10T04:00:00,8.16,2,6,N/A,,6,6,Coastal,2016-10-10T04:00:00,0.0,4,1711,1724,no_label,[],0.39,,0.04,0.03,,2.487168
15,32.003653,-80.960988,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Other (Note in Description box),Phone/Car GPS,NAD83,Andrew Knaak,Arthur Day,GACHA17838,Concrete wing wall near flapper gate on tidal creek at the end of Bobwhite Rd. Also known as SSS-GA-CHT-030WL,,,GA,Chatham County,,No,32.003653,-80.960988,16447,Unknown trib to Beard Creek,17838,135,5,2,Good seedline in small white shed located in vicinity of Hobo water level sensor.  Seed line was trascribed to outside of shed. Marked with pencil,32.003653,-80.960988,2016-10-13T04:00:00,7.26,2,6,N/A,,9,3,Riverine,2016-10-10T04:00:00,0.0,2,10,1587,no_label,[],1.15,,0.1,,,2.212848
16,32.0337528,-80.9028677,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,Robert Forde,Paul Ankcorn,GACHA17917,Seed Line inside USGS gage 38Q002.,,,GA,Chatham County,,Yes,32.0337528,-80.9028677,16448,Savannah River,17917,135,5,1,,32.0337528,-80.9028677,2016-10-10T04:00:00,8.51,2,6,N/A,,6,3,Riverine,2016-10-09T04:00:00,0.0,2,1592,873,no_label,[],1.35,,0.17,0.02,,2.593848
17,31.964854,-81.043607,Matthew October 2016,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Stake,Phone/Car GPS,WGS84 (from Digital Map),Marcie Cruz,Robert Atkinson,GACHA17918,"HWM is located on a house at 37 Islanders Retreat, Savannah, GA 31411 on the southwest facing side of the house nearest to the marsh. The stake/flagging is located in the landscaping and the HWM on the house is marked with permanent marker.",,,GA,Chatham County,,No,31.964854,-81.043607,16449,Lagoon near Skidaway River,17918,135,2,3,The HWM is marked by stake and flagging and is located in the landscaping on the southwest facing side of the home nearest to the marsh. The HWM is also marked on the house with permanent marker,31.964854,-81.043607,2016-10-10T04:00:00,6.68,2,6,N/A,,7,3,Coastal,2016-10-10T04:00:00,0.0,4,1711,1341,no_label,[],,Get height above ground during survey.,0.31,0.03,,2.036064
18,32.03997,-80.97077,Matthew October 2016,Other (Note in Description box),Fair: +/- 0.20 ft,NAVD88,Static-GNSS,,Stake,Phone/Car GPS,NAD83,Paul Ankcorn,Paul Ankcorn,GACHA17919,127 Falligant Ave Savannah 31410,,,GA,Chatham County,,No,32.03997,-80.97077,16450,Atlantic,17919,135,9,3,Top of flagged stake located in back yard of house. 38ft  from pool and 4.6 ft from fence.,32.03997,-80.97077,2016-10-11T04:00:00,7.79,2,7,N/A,,7,3,Riverine,2016-10-10T04:00:00,0.0,2,873,873,no_label,[],0.1,hwm is wash line. used rapid static no elevation yet.,0.14,0.2,,2.3743920000000003
19,33.53133,-79.05689,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Ben Thepaut,Skylar McHenry,SCGEO17921,"5227 Horry Drive, Murrells Inlet",,,SC,Georgetown County,,No,33.53133,-79.05689,16451,Murrells Inlet,17921,135,5,1,"HWM is located behind steps to back porch on southeast side of house, marked with black sharpie",33.53133,-79.05689,2016-10-11T00:00:00,7.6,2,6,N/A,,4,1,Coastal,2016-10-10T00:00:00,0.0,2,1601,1590,no_label,[],0.57,"Job name: 20161011-TEAM3
Shot name: SCGEO17921a/b
Levels were run from surveyed point in front yard of house.",0.0255,0.05,,2.31648
20,32.030985,-80.9014894,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,Robert Forde,Paul Ankcorn,GACHA17920,Seed line in USGS gage 38Q201.,,,GA,Chatham County,,Yes,32.030985,-80.9014894,16452,Savannah River,17920,135,5,1,,32.030985,-80.9014894,2016-10-10T04:00:00,8.58,2,6,N/A,,6,3,Riverine,2016-10-09T04:00:00,1.0,2,1592,873,no_label,[],1.75,,0.17,0.03,,2.615184
21,33.53386,-79.05419,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail,Handheld GPS,NAD83,Ben Thepaut,Skylar McHenry,SCGEO17922,HWM at Residence 5143 Hwy17 Business in backyard; 2 HWM collected,,,SC,Georgetown County,,No,33.53386,-79.05419,16453,Murrells Inlet,17922,135,5,2,HWM (A) on Live oak tree behind residence leading to walkway to pier. marked with nail and orange flagging,33.53386,-79.05419,2016-10-12T00:00:00,7.7,2,6,N/A,,5,1,Coastal,2016-10-10T00:00:00,0.0,2,1601,1590,no_label,[],2.74,,0.139,0.1,,2.34696
22,33.53619,-79.0535,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Ben Thepaut,Skylar McHenry,SCGEO17923,"HWM at residence 5057 Hwy 17 Business, Murrells Inlet",,,SC,Georgetown County,,No,33.53619,-79.0535,16455,Murrells Inlet,17923,135,5,1,HWM is seedline on drywall inside storage room under house at residence marked with black sharpie.,33.53619,-79.0535,2016-10-12T00:00:00,7.9,2,6,N/A,,4,1,Coastal,2016-10-10T00:00:00,0.0,2,1601,1590,no_label,[],0.58,Ran levels to HWM from TMB.,0.139,0.05,,2.4079200000000003
23,32.0144888,-80.8827575,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,Robert Forde,Robert Atkinson,GACHA17924,"Seed line on yellow shack, next to Coco's Sunset Bar.",,,GA,Chatham County,,No,32.0144888,-80.8827575,16456,Atlantic,17924,135,5,2,"Seed line on side of small yellow shack, facing gravel road. Flagged with orange tape.",32.0144888,-80.8827575,2016-10-12T04:00:00,7.99,2,6,N/A,,6,3,Coastal,2016-10-09T04:00:00,1.0,2,1592,1341,no_label,[],1.5,,0.14,0.08,,2.4353520000000004
24,33.53828,-79.05133,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Ben Thepaut,Skylar McHenry,SCGEO17925,"HWM at Residence 4969 Hwy 17 Business, Murrells Inlet",,,SC,Georgetown County,,No,33.53828,-79.05133,16457,Murrells Inlet,17925,135,5,1,HWM is seedline at residence under house in workshop marked with sharpie.,33.53828,-79.05133,2016-10-12T00:00:00,6.9,2,6,N/A,,4,1,Coastal,2016-10-10T00:00:00,0.0,2,1601,1590,no_label,[],0.065,Leveled out from HWM to yard of house with clear view of the sky.,0.139,0.05,,2.10312
25,31.88667,-81.19125,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,Tape measure,,Nail,Phone/Car GPS,NAD83,Andrew Knaak,Andrew Knaak,GABRY17927,"Fort McAllister, Savage Island Road, Gate code 5602, HWM is on center post of Cottage #1.",,,GA,Bryan County,,No,31.88667,-81.19125,16458,Ogeechee River,17927,135,5,2,"Cottage #1, Gate Code to road is 5602.",31.88667,-81.19125,2016-10-12T04:00:00,6.87,2,1,Right,,5,3,Riverine,2016-10-10T04:00:00,0.0,2,10,10,no_label,[],0.6,,0.14,,,2.093976
26,31.156534,-81.498979,Matthew October 2016,Stain line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,James Chapman,James Chapman,GAGLY17929,Good mudline on cross braces of Dock 11 in Brunswick Landing Marina off Hwy 341. Doc is near intersection of Torras Landing and K st. Marked with nail/HWM disc and pink flagging. Will need surveyed via TBM and levels.,,,GA,Glynn County,,No,31.156534,-81.498979,16459,Fancy Bluff Crk,17929,135,6,2,Good mudline on cross braces of Dock 11 in Brunswick Landing Marina off Hwy 341. Doc is near intersection of Torras Landing and K st. Marked with nail/HWM disc and pink flagging. Will need surveyed via TBM and levels.,31.156534,-81.498979,2016-10-12T00:00:00,4.41,2,6,Left,,6,3,Coastal,2016-10-10T00:00:00,0.0,2,1722,1722,no_label,[],2.84,Surveyed with TSC3 on wood stake. Ran levels to the nail. closed at +0.001ft.,0.04,0.1,,1.344168
27,31.142929,-81.413906,Matthew October 2016,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,WGS84 (from Digital Map),Marcie Cruz,Arthur Day,GAGLY17930,The HWM is located in a construction area off of Canary Drive. The mark was placed on a wooden pillar used as part of an erosion barrier ~50 feet from a white trailer.,,,GA,Glynn County,,No,31.142929,-81.413906,16461,Fancy Bluff Creek,17930,135,2,3,HWM is located on a wooden pillar used as part of erosion control. The mark is ~50 feet from a white trailer.,31.142929,-81.413906,2016-10-13T04:00:00,6.56,2,6,N/A,,6,3,Coastal,2016-10-10T04:00:00,1.0,4,1711,1587,no_label,[],1.24,This HWM is not believed to be storm surge. It appears to be from standing water in an area surrounded by retention walls.,0.1,0.03,,1.999488
28,32.0208668,-80.8593938,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,,Nail and HWM tag,Phone/Car GPS,NAD83,,Chris Walls,GACHA17932,Seed line on outside of private residence.,,,GA,Chatham County,,No,32.0208668,-80.8593938,16462,Atlantic,17932,135,5,1,,32.0208668,-80.8593938,2016-10-11T04:00:00,8.83,2,2,N/A,,6,3,Coastal,2016-10-09T04:00:00,0.0,2,,1721,no_label,[],1.47,,0.05,0.04,,2.691384
29,33.57135,-79.00501,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Marker,Phone/Car GPS,NAD83,Philip Habermehl,,SCGEO17931,RESIDENCE AT 642 SOUTH. DOGWOOD,,,SC,Georgetown County,,No,33.57135,-79.00501,16463,ATLANTIC,17931,135,5,2,SOUTHWEST CORNER OF CARPORT. BELOW LIVING RESIDENCE IN THE CORNER.,33.57135,-79.00501,2016-10-14T00:00:00,7.4,2,6,N/A,,4,3,Coastal,2016-10-10T00:00:00,0.0,2,1600,,no_label,[],2.69,Leveled out from HWM to spot in yard suitable for RTN.,0.2375,0.08,,2.25552
30,31.135144,-81.478514,Matthew October 2016,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,James Chapman,James Chapman,GAGLY17933,"Fair seedline on wooden reflector post on side of Hwy 341/17,  where hwys separate. Post near GA Port Auth. sign. Marked with nail/HWM disc and pink flagging. Add't flaggiing at top of post.",,,GA,Glynn County,,No,31.135144,-81.478514,16464,Fancy Bluff Crk,17933,135,5,3,"Fair seedline on wooden reflector post on side of Hwy 341/17,  where hwys separate. Post near GA Port Auth. sign. Marked with nail/HWM disc and pink flagging. Add't flaggiing at top of post.",31.135144,-81.478514,2016-10-11T04:00:00,6.23,2,6,Right,,6,3,Coastal,2016-10-09T04:00:00,0.0,2,1722,1722,no_label,[],0.79,Used 4 ft level and pounded stake into ground. Surveyed on stake directly over HWM.,0.04,0.2,,1.8989040000000001
31,33.5435,-79.04725,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Ben Thepaut,Skylar McHenry,SCGEO17934,"HWM at Residence 4749 Hwy 17 Business, Murrells Inlet",,,SC,Georgetown County,,No,33.5435,-79.04725,16465,Murrells Inlet,17934,135,5,1,HWM is seedline located on staircase in backyard leading to back porch marked with black sharpie,33.5435,-79.04725,2016-10-12T00:00:00,6.7,2,6,N/A,,4,1,Coastal,2016-10-10T00:00:00,0.0,2,1601,1590,no_label,[],0.77,Ran level line out from HWM to stake in yard with clear view of sky.,0.139,0.05,,2.04216
32,31.88094,-81.17806,Matthew October 2016,Debris,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Tape,Phone/Car GPS,NAD83,Andrew Knaak,Andrew Knaak,GABRY17935,Fort McAllister Boat Ramp.  multiple Seed lines on wood boards on canoe rack transcribed by line level to top of stake in ground for RTK purposes. Also put nails and flagging on seed lines of canoe rack.,,,GA,Bryan County,,No,31.88094,-81.17806,16466,Ogeechee River Trib,17935,135,2,2,"located at boat ramp in Fort McAllister, if looking down down ramp to water it is on the right of the concrete boat ramp.",31.88094,-81.17806,2016-10-12T04:00:00,6.35,2,6,N/A,,2,3,Riverine,2016-10-10T04:00:00,0.0,2,10,10,no_label,[],0.5,transcribed seed line on canoe rack using line level to top of stake in ground with flagging for RTK purposes.  Also mark seed lines with flag and tape.,0.14,,,1.93548
33,31.133836,-81.394602,Matthew October 2016,Debris,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Stake,Phone/Car GPS,WGS84 (from Digital Map),Marcie Cruz,Arthur Day,GAGLY17936,The HWM is located on two humpback whale head statues SE of the St. Simon's Island Lighthouse Museum and E of the Neptune Park playground.,,,GA,Glynn County,,No,31.133836,-81.394602,16467,Atlantic Ocean,17936,135,2,1,The stake is located to the east humpback whale head statues to the east of a playground.,31.133836,-81.394602,2016-10-13T04:00:00,9.35,2,6,N/A,,7,3,Coastal,2016-10-10T04:00:00,0.0,4,1711,1587,no_label,[],0.45,,0.1,0.05,,2.84988
34,32.019875,-80.861286,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Tape,Phone/Car GPS,NAD83,Chris Walls,Chris Walls,GACHA17937,Seed line inside ATT box between house 11 and 12 `6ft west of asphalt.,,,GA,Chatham County,,No,32.019875,-80.861286,16468,Atlantic,17937,135,5,2,Seed line inside ATT box between house 11 and 12 `6ft west of asphalt. Transferred to outside of box using a level with permanent marker.,32.019875,-80.861286,2016-10-10T04:00:00,8.97,2,6,N/A,,2,3,Coastal,2016-10-10T04:00:00,0.0,2,1721,1721,no_label,[],2.23,,0.17,0.1,,2.7340560000000003
35,31.152815,-81.477857,Matthew October 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,James Chapman,James Chapman,GAGLY17938,Good seedline near base of palm tree in northernmost parking lot of Marshes of Glynn Overlook Park. Marked with nail/HWM disc and pink flagging. Add't flagging around tree at head height.,,,GA,Glynn County,,No,31.152815,-81.477857,16469,Fancy Bluff Crk,17938,135,5,2,Good seedline near base of palm tree in northernmost parking lot of Marshes of Glynn Overlook Park. Marked with nail/HWM disc and pink flagging. Add't flagging around tree at head height.,31.152815,-81.477857,2016-10-11T04:00:00,6.6,2,6,Right,,6,3,Coastal,2016-10-09T04:00:00,0.0,2,1722,1722,no_label,[],0.44,Surveyed directly over HWM.,0.04,0.1,,2.01168
36,32.0021048,-80.8485248,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,NAD83,,Chris Walls,GACHA17939,Seed line near front door. Private residence.,,,GA,Chatham County,,No,32.0021048,-80.8485248,16470,Atlantic,17939,135,5,1,"Seed line on inside wall of entry way, near front door. Facing Miller Ave. Flagged with orange tape.",32.0021048,-80.8485248,2016-10-11T04:00:00,7.28,2,6,N/A,,6,3,Coastal,2016-10-09T04:00:00,1.0,2,,1721,no_label,[],1.8,"TBM set, levels ran to HWM",0.05,0.04,,2.218944
37,33.54692,-79.04361,Matthew October 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Ben Thepaut,Skylar McHenry,SCGEO17941,"HWM at Residence on Parsonage Ln. near Hwy 17 Business, Murrells Inlet",,,SC,Georgetown County,,No,33.54692,-79.04361,16471,Murrells Inlet,17941,135,5,1,HWM is seedline located in back of residence at bottom of staircase leading to back porch marked with black sharpie,33.54692,-79.04361,2016-10-12T00:00:00,7.2,2,6,N/A,,4,1,Coastal,2016-10-10T00:00:00,0.0,2,1601,1590,no_label,[],0.18,Ran levels from TBM to establish elevation.,0.139,0.05,,2.19456
38,31.137892,-81.380575,Matthew October 2016,Debris,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Phone/Car GPS,WGS84 (from Digital Map),Marcie Cruz,Ahmed Rhoni-Aref,GAGLY17940,"HWM is located and marked on the staircase banister on the back of the house facing the Atlantic Ocean. The HWM is marked with a nail, HWM tag, and flagging.",,,GA,Glynn County,,No,31.137892,-81.380575,16472,Atlantic Ocean,17940,135,2,1,"The HWM, HWM tag, nail and flagging are locating on the staircase banister on the back of the house facing the Atlantic Ocean.",31.137892,-81.380575,2016-10-13T04:00:00,7.34,2,6,N/A,,6,3,Riverine,2016-10-10T04:00:00,0.0,4,1711,1716,no_label,[],1.35,,0.13,0.03,,2.237232
