station_name,station_code,sensor,lon,lat,depth
"FHP - Fred Howard Park, FL",fhpf1,urn:ioos:sensor:wmo:fhpf1::anemometer1,-82.801,28.153000000000002,-9.4
"Fowey Rock, FL",fwyf1,urn:ioos:sensor:wmo:fwyf1::anemometer1,-80.097,25.590999999999998,-43.9
Lake Murray SC,lmfs1,urn:ioos:sensor:wmo:lmfs1::anemometer1,-81.271,34.107,-9.0
"Long Key, FL",lonf1,urn:ioos:sensor:wmo:lonf1::anemometer1,-80.86399999999999,24.844,-6.7
"Molasses Reef, FL",mlrf1,urn:ioos:sensor:wmo:mlrf1::anemometer1,-80.376,25.011999999999997,-15.8
"Pulaski Shoals Light, FL",plsf1,urn:ioos:sensor:wmo:plsf1::anemometer1,-82.773,24.693,-17.7
"Puntas Rincon, PR",ptrp4,urn:ioos:sensor:wmo:ptrp4::anemometer1,-67.251,18.367,-15.0
"Port Everglades Channel, FL",pvgf1,urn:ioos:sensor:wmo:pvgf1::anemometer1,-80.109,26.092,-3.5
"St. Augustine, FL",sauf1,urn:ioos:sensor:wmo:sauf1::anemometer1,-81.265,29.857,-7.6
"Sebastian Inlet State Park North Jetty, FL",sipf1,urn:ioos:sensor:wmo:sipf1::anemometer1,-80.445,27.862,-1.0
"Sombrero Key, FL",smkf1,urn:ioos:sensor:wmo:smkf1::anemometer1,-81.109,24.628,-6.6
"Settlement Point, GBI, Bahamas",spgf1,urn:ioos:sensor:wmo:spgf1::anemometer1,-78.995,26.704,-6.6
"Venice, FL",venf1,urn:ioos:sensor:wmo:venf1::anemometer1,-82.45299999999999,27.072,-11.6
"Lake Wateree, SC",wats1,urn:ioos:sensor:wmo:wats1::anemometer1,-80.702,34.335,-3.1
"Whipray Basin, FL",wrbf1,urn:ioos:sensor:wmo:wrbf1::anemometer1,-80.735,25.072,
